sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,utcoff,Continent
Cairo,Egypt,Al Qāhirah,30.0444,31.2358,N,481,677,0,30.04,31.24,AAQE,1818253931,0,africa
Lagos,Nigeria,Lagos,6.455,3.3841,N,387,588,0,6.46,3.38,AAQE,1566593751,0,africa
Kinshasa,Congo (Kinshasa),Kinshasa,-4.3219,15.3119,N,344,626,0,-4.32,15.31,AAQE,1180000363,0,africa
Luanda,Angola,Luanda,-8.8383,13.2344,N,326,619,0,-8.84,13.23,AAQE,1024949724,0,africa
Dar_es_Salaam,Tanzania,Dar es Salaam,-6.8161,39.2803,N,334,703,0,-6.82,39.28,AAQE,1834843853,0,africa
Khartoum,Sudan,Khartoum,15.6031,32.5265,N,423,681,0,15.6,32.53,AAQE,1729268475,0,africa
Johannesburg,South Africa,Gauteng,-26.2044,28.0456,N,256,667,0,-26.2,28.05,AAQE,1710550792,0,africa
Douala,Cameroon,Littoral,4.05,9.7,N,377,608,0,4.05,9.7,AAQE,1120494607,0,africa
Addis_Ababa,Ethiopia,Ādīs Ābeba,9.03,38.74,N,397,701,0,9.03,38.74,AAQE,1231824991,0,africa
Giza,Egypt,Al Jīzah,29.987,31.2118,N,481,677,0,29.99,31.21,AAQE,1818925479,0,africa
Nairobi,Kenya,Nairobi City,-1.2864,36.8172,N,356,695,0,-1.29,36.82,AAQE,1404000661,0,africa
Abidjan,Côte d’Ivoire,Abidjan,5.3364,-4.0267,N,382,564,0,5.34,-4.03,AAQE,1384207980,0,africa
Alexandria,Egypt,Al Iskandarīyah,31.1975,29.8925,N,486,673,0,31.2,29.89,AAQE,1818695837,0,africa
Cape_Town,South Africa,Western Cape,-33.9253,18.4239,N,225,636,0,-33.93,18.42,AAQE,1710680650,0,africa
Bamako,Mali,Bamako,12.6458,-7.9922,N,412,551,0,12.65,-7.99,AAQE,1466965925,0,africa
Kano,Nigeria,Kano,12,8.5167,N,409,604,0,12,8.52,AAQE,1566422868,0,africa
Kumasi,Ghana,Ashanti,6.7,-1.625,N,388,572,0,6.7,-1.63,AAQE,1288181103,0,africa
Abuja,Nigeria,Federal Capital Territory,9.0667,7.4833,N,397,601,0,9.07,7.48,AAQE,1566342270,0,africa
Ibadan,Nigeria,Oyo,7.3964,3.9167,N,391,590,0,7.4,3.92,AAQE,1566366407,0,africa
Boankra,Ghana,Ashanti,6.6919,-1.4051,N,388,573,0,6.69,-1.41,AAQE,1288164978,0,africa
Casablanca,Morocco,Casablanca-Settat,33.5333,-7.5833,N,495,553,0,33.53,-7.58,AAQE,1504175315,0,africa
Ouagadougou,Burkina Faso,Centre,12.3686,-1.5275,N,410,572,0,12.37,-1.53,AAQE,1854029208,0,africa
Mbuji_Mayi,Congo (Kinshasa),Kasaï Oriental,-6.15,23.6,N,336,653,0,-6.15,23.6,AAQE,1180399586,0,africa
Pretoria,South Africa,Gauteng,-25.7461,28.1881,N,258,667,0,-25.75,28.19,AAQE,1710176249,0,africa
Omdurman,Sudan,Khartoum,15.6835,32.4629,N,424,681,0,15.68,32.46,AAQE,1729912179,0,africa
Brazzaville,Congo (Brazzaville),Brazzaville,-4.2667,15.2667,N,344,626,0,-4.27,15.27,AAQE,1178340306,0,africa
Yaounde,Cameroon,Centre,3.8667,11.5167,N,376,614,0,3.87,11.52,AAQE,1120298240,0,africa
Algiers,Algeria,Alger,36.7325,3.0872,N,508,587,0,36.73,3.09,AAQE,1012973369,0,africa
Awka,Nigeria,Anambra,6.2069,7.0678,N,386,600,0,6.21,7.07,AAQE,1566560581,0,africa
Mogadishu,Somalia,Banaadir,2.0392,45.3419,N,369,722,0,2.04,45.34,AAQE,1706893395,0,africa
Kananga,Congo (Kinshasa),Kasaï Central,-5.897,22.4488,N,337,649,0,-5.9,22.45,AAQE,1180172460,0,africa
Port_Harcourt,Nigeria,Rivers,4.8242,7.0336,N,380,600,0,4.82,7.03,AAQE,1566070649,0,africa
Lubumbashi,Congo (Kinshasa),Haut-Katanga,-11.6647,27.4794,N,314,665,0,-11.66,27.48,AAQE,1180506234,0,africa
Benin_City,Nigeria,Edo,6.3333,5.6222,N,386,595,0,6.33,5.62,AAQE,1566080151,0,africa
Lusaka,Zambia,Lusaka,-15.4167,28.2833,N,299,668,0,-15.42,28.28,AAQE,1894157390,0,africa
Kampala,Uganda,Kampala,0.3136,32.5811,N,362,681,0,0.31,32.58,AAQE,1800406299,0,africa
Conakry,Guinea,Conakry,9.5092,-13.7122,N,399,533,0,9.51,-13.71,AAQE,1324568159,0,africa
Yopougon,Côte d’Ivoire,Abidjan,5.3748,-4.0867,N,382,564,0,5.37,-4.09,AAQE,1384759584,0,africa
Harare,Zimbabwe,Harare,-17.8292,31.0522,N,290,676,0,-17.83,31.05,AAQE,1716196799,0,africa
Lome,Togo,Maritime,6.1308,1.2153,N,386,581,0,6.13,1.22,AAQE,1768409132,0,africa
Niamey,Niger,Niamey,13.515,2.1175,N,415,584,0,13.52,2.12,AAQE,1562932886,0,africa
Onitsha,Nigeria,Anambra,6.1667,6.7833,N,386,599,0,6.17,6.78,AAQE,1566593483,0,africa
Dakar,Senegal,Dakar,14.6726,-17.432,N,420,521,0,14.67,-17.43,AAQE,1686604760,0,africa
Pointe_Noire,Congo (Brazzaville),Pointe-Noire,-4.7975,11.8503,N,342,615,0,-4.8,11.85,AAQE,1178411563,0,africa
Cacuaco,Angola,Luanda,-8.8053,13.2444,N,326,619,0,-8.81,13.24,AAQE,1024559448,0,africa
Tangier,Morocco,Tanger-Tétouan-Al Hoceïma,35.7767,-5.8039,N,504,558,0,35.78,-5.8,AAQE,1504861504,0,africa
Antananarivo,Madagascar,Antananarivo,-18.91,47.525,N,285,729,0,-18.91,47.53,AAQE,1450978461,0,africa
Soweto,South Africa,Gauteng,-26.2678,27.8585,N,256,666,0,-26.27,27.86,AAQE,1710627007,0,africa
Hargeysa,Somalia,Woqooyi Galbeed,9.56,44.065,N,399,718,0,9.56,44.07,AAQE,1706832021,0,africa
Baidoa,Somalia,Bay,3.1167,43.65,N,373,717,0,3.12,43.65,AAQE,1706563100,0,africa
Mombasa,Kenya,Mombasa,-4.05,39.6667,N,345,704,0,-4.05,39.67,AAQE,1404512373,0,africa
Maiduguri,Nigeria,Borno,11.8372,13.1542,N,408,619,0,11.84,13.15,AAQE,1566540296,0,africa
Mbandaka,Congo (Kinshasa),Équateur,0.0478,18.2558,N,361,635,0,0.05,18.26,AAQE,1180720887,0,africa
Tripoli,Libya,Ţarābulus,32.8872,13.1914,N,493,619,0,32.89,13.19,AAQE,1434201852,0,africa
Aba,Nigeria,Abia,5.1167,7.3667,N,381,601,0,5.12,7.37,AAQE,1566262000,0,africa
