sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,utcoff,stationid,New Station
Cuiaba,NA,NA,-15.555244,-56.070214,N,299,398,0,-15.555244,-56.070214,NA,NA,1,TRUE
Alta_Floresta,NA,NA,-9.871339,-56.104453,N,322,397,0,-9.871339,-56.104453,NA,NA,2,TRUE
Jamari,NA,NA,-9.19907,-63.068552,N,324,375,0,-9.19907,-63.068552,NA,NA,3,TRUE
Tucson,NA,NA,32.233002,-110.953003,N,490,222,0,32.233002,-110.953003,NA,NA,4,TRUE
GSFC,NA,NA,38.9925,-76.839833,N,517,331,0,38.9925,-76.839833,NA,NA,5,TRUE
Kolfield,NA,NA,39.802223,-74.476387,N,520,339,0,39.802223,-74.476387,NA,NA,6,TRUE
Porto_Nacional,NA,NA,-10.7,-48.41,N,318,422,0,-10.7,-48.41,NA,NA,7,TRUE
Brasilia,NA,NA,-15.917,-47.900002,N,297,424,0,-15.917,-47.900002,NA,NA,8,TRUE
Harvard_Forest,NA,NA,42.532,-72.188,N,531,346,0,42.532,-72.188,NA,NA,9,TRUE
Wallops,NA,NA,37.93285,-75.47195,N,513,335,0,37.93285,-75.47195,NA,NA,10,TRUE
Hampton_Roads,NA,NA,36.783333,-76.449997,N,508,332,0,36.783333,-76.449997,NA,NA,11,TRUE
Hagerstown,NA,NA,39.708332,-77.724998,N,520,328,0,39.708332,-77.724998,NA,NA,12,TRUE
Hog_Island,NA,NA,37.453,-75.675,N,511,335,0,37.453,-75.675,NA,NA,13,TRUE
Tukurui,NA,NA,-3.716666,-49.683331,N,346,418,0,-3.716666,-49.683331,NA,NA,14,TRUE
Arizona,NA,NA,32.442001,-110.788002,N,491,222,0,32.442001,-110.788002,NA,NA,15,TRUE
Santarem,NA,NA,-2.428584,-54.706,N,351,402,0,-2.428584,-54.706,NA,NA,16,TRUE
Ussuriysk,NA,NA,43.7004,132.1635,N,536,1000,0,43.7004,132.1635,NA,NA,17,TRUE
Waskesiu,NA,NA,53.914386,-106.069578,N,577,238,0,53.914386,-106.069578,NA,NA,18,TRUE
Ariquiums,NA,NA,-9.916667,-63.033332,N,321,375,0,-9.916667,-63.033332,NA,NA,19,TRUE
JamTown,NA,NA,-9.190911,-63.1798,N,324,375,0,-9.190911,-63.1798,NA,NA,20,TRUE
Key_Biscayne,NA,NA,25.731966,-80.16333,N,464,320,0,25.731966,-80.16333,NA,NA,21,TRUE
Sevilleta,NA,NA,34.354721,-106.885002,N,498,235,0,34.354721,-106.885002,NA,NA,22,TRUE
Hawaii,NA,NA,20.710029,-156.253233,N,444,77,0,20.710029,-156.253233,NA,NA,23,TRUE
Cart_Site,NA,NA,36.60667,-97.48639,N,507,265,0,36.60667,-97.48639,NA,NA,24,TRUE
NSA_YJP_BOREAS,NA,NA,55.903,-98.290001,N,585,262,0,55.903,-98.290001,NA,NA,25,TRUE
FLIN_FLON,NA,NA,54.669998,-101.690002,N,580,252,0,54.669998,-101.690002,NA,NA,26,TRUE
SSA_YJP_BOREAS,NA,NA,53.674999,-104.650002,N,576,242,0,53.674999,-104.650002,NA,NA,27,TRUE
PRINCE_ALBERT,NA,NA,53.200001,-105.699997,N,574,239,0,53.200001,-105.699997,NA,NA,28,TRUE
Bonanza_Creek,NA,NA,64.742805,-148.316269,N,620,102,0,64.742805,-148.316269,NA,NA,29,TRUE
Mauna_Loa,NA,NA,19.536006,-155.576755,N,439,79,0,19.536006,-155.576755,NA,NA,30,TRUE
Thompson,NA,NA,55.799999,-97.849998,N,584,264,0,55.799999,-97.849998,NA,NA,31,TRUE
HJAndrews,NA,NA,44.238609,-122.223892,N,538,186,0,44.238609,-122.223892,NA,NA,32,TRUE
La_Crau,NA,NA,43.5765,4.819,N,535,592,0,43.5765,4.819,NA,NA,33,TRUE
Ukiah,NA,NA,45.13361,-118.918884,N,542,196,0,45.13361,-118.918884,NA,NA,34,TRUE
Wisconsin,NA,NA,46.051888,-89.653725,N,545,290,0,46.051888,-89.653725,NA,NA,35,TRUE
Ji_Parana,NA,NA,-10.86,-61.799999,N,318,379,0,-10.86,-61.799999,NA,NA,36,TRUE
Spokane,NA,NA,47.61972,-117.53389,N,551,201,0,47.61972,-117.53389,NA,NA,37,TRUE
Bondoukoui,NA,NA,11.85,-3.75,N,408,565,0,11.85,-3.75,NA,NA,38,TRUE
Bidi_Bahn,NA,NA,14.06,-2.45,N,417,569,0,14.06,-2.45,NA,NA,39,TRUE
Lille,NA,NA,50.611667,3.141667,N,563,587,0,50.611667,3.141667,NA,NA,40,TRUE
Park_Brasilia,NA,NA,-15.743333,-47.916668,N,298,424,0,-15.743333,-47.916668,NA,NA,41,TRUE
Albany_Oregon,NA,NA,44.583332,-123.066666,N,539,183,0,44.583332,-123.066666,NA,NA,42,TRUE
Biggs,NA,NA,39.450001,-121.73333,N,519,187,0,39.450001,-121.73333,NA,NA,43,TRUE
Chapada,NA,NA,-15.360644,-55.830143,N,300,398,0,-15.360644,-55.830143,NA,NA,44,TRUE
Jaru,NA,NA,-10.386164,-62.547749,N,319,377,0,-10.386164,-62.547749,NA,NA,45,TRUE
JARU_TOWN,NA,NA,-10.443056,-62.467778,N,319,377,0,-10.443056,-62.467778,NA,NA,46,TRUE
Agri_School,NA,NA,-10.080833,-56.180279,N,321,397,0,-10.080833,-56.180279,NA,NA,47,TRUE
Teles_Peres,NA,NA,-9.667945,-56.02,N,322,398,0,-9.667945,-56.02,NA,NA,48,TRUE
Red_Bluff,NA,NA,40.150002,-122.25,N,522,186,0,40.150002,-122.25,NA,NA,49,TRUE
Pullman,NA,NA,46.75,-117.191666,N,548,202,0,46.75,-117.191666,NA,NA,50,TRUE
Bordman,NA,NA,45.816666,-119.666664,N,544,194,0,45.816666,-119.666664,NA,NA,51,TRUE
White_Sands,NA,NA,32.918999,-106.350998,N,493,237,0,32.918999,-106.350998,NA,NA,52,TRUE
GORDO_rest,NA,NA,-15.401,-55.993,N,299,398,0,-15.401,-55.993,NA,NA,53,TRUE
Missoula,NA,NA,46.916668,-114.083336,N,549,212,0,46.916668,-114.083336,NA,NA,54,TRUE
Owens_Lake,NA,NA,36.487778,-117.870697,N,507,200,0,36.487778,-117.870697,NA,NA,55,TRUE
Capo_Verde,NA,NA,16.7325,-22.935499,N,428,504,0,16.7325,-22.935499,NA,NA,56,TRUE
Ouagadougou,NA,NA,12.42413,-1.48723,N,411,572,0,12.42413,-1.48723,NA,NA,57,TRUE
UCSB,NA,NA,34.415428,-119.84536,N,499,193,0,34.415428,-119.84536,NA,NA,58,TRUE
Jug_Bay,NA,NA,38.766666,-76.778099,N,516,331,0,38.766666,-76.778099,NA,NA,59,TRUE
SERC,NA,NA,38.888901,-76.555795,N,517,332,0,38.888901,-76.555795,NA,NA,60,TRUE
Burtonsville,NA,NA,39.093714,-76.949881,N,517,331,0,39.093714,-76.949881,NA,NA,61,TRUE
Gaithersburg,NA,NA,39.133335,-77.208336,N,518,330,0,39.133335,-77.208336,NA,NA,62,TRUE
La_Jolla,NA,NA,32.86846,-117.25113,N,492,202,0,32.86846,-117.25113,NA,NA,63,TRUE
SS_OJP_BOREAS,NA,NA,53.916,-104.69,N,577,242,0,53.916,-104.69,NA,NA,64,TRUE
Kasama,NA,NA,-10.21697,31.136159,N,320,677,0,-10.21697,31.136159,NA,NA,65,TRUE
Boulder,NA,NA,39.991466,-105.260832,N,521,240,0,39.991466,-105.260832,NA,NA,66,TRUE
McMurdo,NA,NA,-77.625,162.883331,N,50,1098,0,-77.625,162.883331,NA,NA,67,TRUE
Barcelona,NA,NA,41.38925,2.11206,N,527,584,0,41.38925,2.11206,NA,NA,68,TRUE
OBS-SSA,NA,NA,53.985,-105.12,N,577,241,0,53.985,-105.12,NA,NA,69,TRUE
CANDLE_LAKE,NA,NA,53.733,-105.267,N,576,240,0,53.733,-105.267,NA,NA,70,TRUE
Paddockwood,NA,NA,53.507889,-105.561817,N,575,239,0,53.507889,-105.561817,NA,NA,71,TRUE
Hong_Kong_Hok_Tsui,NA,NA,22.2097,114.258,N,450,943,0,22.2097,114.258,NA,NA,72,TRUE
SEDE_BOKER,NA,NA,30.855,34.782222,N,484,688,0,30.855,34.782222,NA,NA,73,TRUE
Madison,NA,NA,43.07,-89.41,N,533,291,0,43.07,-89.41,NA,NA,74,TRUE
Tuxtla_Gutierrez,NA,NA,16.754722,-93.152222,N,428,279,0,16.754722,-93.152222,NA,NA,75,TRUE
Tenosique,NA,NA,17.4875,-91.425556,N,431,284,0,17.4875,-91.425556,NA,NA,76,TRUE
Trinidad_Head,NA,NA,41.05392,-124.15102,N,525,180,0,41.05392,-124.15102,NA,NA,77,TRUE
Dead_Horse,NA,NA,69.428333,-148.698333,N,639,101,0,69.428333,-148.698333,NA,NA,78,TRUE
CARTEL,NA,NA,45.379754,-71.93133,N,543,347,0,45.379754,-71.93133,NA,NA,79,TRUE
Toronto,NA,NA,43.79,-79.47,N,536,323,0,43.79,-79.47,NA,NA,80,TRUE
North_Slope,NA,NA,69.627333,-148.6665,N,640,101,0,69.627333,-148.6665,NA,NA,81,TRUE
Mongu,NA,NA,-15.253611,23.150833,N,300,651,0,-15.253611,23.150833,NA,NA,82,TRUE
El_Refugio,NA,NA,-14.766388,-62.034722,N,302,378,0,-14.766388,-62.034722,NA,NA,83,TRUE
SANTA_CRUZ,NA,NA,-17.802133,-63.177717,N,290,375,0,-17.802133,-63.177717,NA,NA,84,TRUE
Campo_Grande,NA,NA,-20.45,-54.616667,N,279,402,0,-20.45,-54.616667,NA,NA,85,TRUE
Uberlandia,NA,NA,-18.9,-48.28333,N,285,422,0,-18.9,-48.28333,NA,NA,86,TRUE
Alianca,NA,NA,-14.733333,-47.533333,N,302,425,0,-14.733333,-47.533333,NA,NA,87,TRUE
CAMPO_VERDE,NA,NA,-15.561667,-55.175,N,299,400,0,-15.561667,-55.175,NA,NA,88,TRUE
Pantanal,NA,NA,-16.3955,-56.621833,N,295,396,0,-16.3955,-56.621833,NA,NA,89,TRUE
Potosi_Mine,NA,NA,-9.23092,-62.863328,N,324,376,0,-9.23092,-62.863328,NA,NA,90,TRUE
Repressa_Samuel,NA,NA,-8.755167,-63.459333,N,326,374,0,-8.755167,-63.459333,NA,NA,91,TRUE
Flor_De_Oro,NA,NA,-13.553056,-61.013889,N,307,382,0,-13.553056,-61.013889,NA,NA,92,TRUE
Banizoumbou,NA,NA,13.54693,2.66519,N,415,586,0,13.54693,2.66519,NA,NA,93,TRUE
Lanai,NA,NA,20.735,-156.921667,N,444,75,0,20.735,-156.921667,NA,NA,94,TRUE
Coconut_Island,NA,NA,21.4329,-157.789717,N,447,72,0,21.4329,-157.789717,NA,NA,95,TRUE
OceolaNF,NA,NA,30.205278,-82.442778,N,482,313,0,30.205278,-82.442778,NA,NA,96,TRUE
JonesERC,NA,NA,31.23083,-84.471111,N,486,307,0,31.23083,-84.471111,NA,NA,97,TRUE
TallTimbers,NA,NA,30.664167,-84.23889,N,484,307,0,30.664167,-84.23889,NA,NA,98,TRUE
OkefenokeeNWR,NA,NA,30.741111,-82.128611,N,484,314,0,30.741111,-82.128611,NA,NA,99,TRUE
Bermuda,NA,NA,32.37,-64.696111,N,490,370,0,32.37,-64.696111,NA,NA,100,TRUE
Dry_Tortugas,NA,NA,24.628056,-82.871944,N,460,312,0,24.628056,-82.871944,NA,NA,101,TRUE
JUNGFRAU,NA,NA,46.54748,7.984993,N,547,603,0,46.54748,7.984993,NA,NA,102,TRUE
Ascension_Island,NA,NA,-7.976389,-14.414722,N,329,531,0,-7.976389,-14.414722,NA,NA,103,TRUE
Windsor_B,NA,NA,42.283,-83.083,N,530,311,0,42.283,-83.083,NA,NA,104,TRUE
Barbados,NA,NA,13.148575,-59.624122,N,414,386,0,13.148575,-59.624122,NA,NA,105,TRUE
Tahiti,NA,NA,-17.5769,-149.6063,N,291,98,0,-17.5769,-149.6063,NA,NA,106,TRUE
MALE,NA,NA,4.191667,73.529167,N,378,812,0,4.191667,73.529167,NA,NA,107,TRUE
Tamihua,NA,NA,21.260717,-97.44245,N,446,265,0,21.260717,-97.44245,NA,NA,108,TRUE
Barrow,NA,NA,71.3122,-156.665,N,646,76,0,71.3122,-156.665,NA,NA,109,TRUE
