sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,locationId,country,sensorType,continent,sensorId
Tasmania_Region,Australia,Hadspen,-41.503,147.067,Y,195,1048,0,-41.503,147.067,,100001,5484,AU,reference grade,unknown,14462
Tasmania_Region_2,Australia,Westbury,-41.53,146.835,Y,195,1047,0,-41.53,146.835,,100002,5483,AU,reference grade,unknown,14461
Tasmania_Region_3,Australia,Latrobe,-41.238,146.42,Y,196,1046,0,-41.238,146.42,,100003,233316,AU,reference grade,unknown,1342446
Tasmania_Region_4,Australia,Emu River,-41.108,145.883,Y,197,1044,0,-41.108,145.883,,100004,5482,AU,reference grade,unknown,5079369
Tasmania_Region_5,Australia,Longford,-41.595,147.122,Y,195,1048,0,-41.595,147.122,,100005,5481,AU,reference grade,unknown,14458
Tasmania_Region_6,Australia,West Ulverstone,-41.159,146.146,Y,196,1045,0,-41.159,146.146,,100006,5491,AU,reference grade,unknown,14479
Tasmania_Region_7,Australia,Smithton,-40.85,145.133,Y,198,1041,0,-40.85,145.133,,100007,5488,AU,reference grade,unknown,14471
Tasmania_Region_8,Australia,Wynyard,-40.992,145.718,Y,197,1043,0,-40.992,145.718,,100008,5487,AU,reference grade,unknown,14470
Tasmania_Region_9,Australia,Sheffield,-41.43,146.338,Y,195,1045,0,-41.43,146.338,,100009,5486,AU,reference grade,unknown,14473
Tasmania_Region_10,Australia,Deloraine,-41.523,146.658,Y,195,1046,0,-41.523,146.658,,100010,5485,AU,reference grade,unknown,14466
Tasmania_Region_11,Australia,Perth,-41.578,147.172,Y,195,1048,0,-41.578,147.172,,100011,5490,AU,reference grade,unknown,14476
Tasmania_Region_12,Australia,Devonport,-41.185,146.345,Y,196,1045,0,-41.185,146.345,,100012,5480,AU,reference grade,unknown,14457
Tasmania_Region_14,Australia,Scottsdale,-41.162,147.515,Y,196,1049,0,-41.162,147.515,,100014,5478,AU,reference grade,unknown,14452
Tasmania_Region_15,Australia,Queenstown,-42.081,145.553,Y,193,1043,0,-42.081,145.553,,100015,233317,AU,reference grade,unknown,1342450
Tasmania_Region_16,Australia,Fingal,-41.638,147.967,Y,194,1050,0,-41.638,147.967,,100016,5474,AU,reference grade,unknown,14444
Tasmania_Region_17,Australia,Lilydale,-41.25,147.217,Y,196,1048,0,-41.25,147.217,,100017,5476,AU,reference grade,unknown,14446
Tasmania_Region_18,Australia,Exeter,-41.303,146.951,Y,196,1047,0,-41.303,146.951,,100018,5475,AU,reference grade,unknown,14445
Tasmania_Region_19,Australia,St Helens,-41.32,148.25,Y,196,1051,0,-41.32,148.25,,100019,5473,AU,reference grade,unknown,14443
Tasmania_Region_20,Australia,Campbell Town,-41.928,147.491,Y,193,1049,0,-41.928,147.491,,100020,5472,AU,reference grade,unknown,14439
Tasmania_Region_21,Australia,George Town,-41.111,146.836,Y,197,1047,0,-41.111,146.836,,100021,5477,AU,reference grade,unknown,14451
Tasmania_Region_22,Australia,Ti Tree Bend,-41.419,147.124,Y,195,1048,0,-41.419,147.124,,100022,5456,AU,reference grade,unknown,14404
Tasmania_Region_23,Australia,Gretna,-42.684,146.936,Y,190,1047,0,-42.684,146.936,,100023,5463,AU,reference grade,unknown,14425
Tasmania_Region_24,Australia,Cygnet,-43.159,147.072,Y,188,1048,0,-43.159,147.072,,100024,5464,AU,reference grade,unknown,14423
Tasmania_Region_25,Australia,Bream Creek,-42.819,147.817,Y,190,1050,0,-42.819,147.817,,100025,5467,AU,reference grade,unknown,14431
